time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2016-12-27 00:00:00, 2016-12-27T15:12:00.000000000, -14.899, 1023.465, 1.278, 73.456, 76.922, 91.592, 60.343
2016-12-28 00:00:00, 2016-12-28T16:03:00.000000000, -16.249, 1023.458, 1.279, 71.021, 71.314, 90.863, 60.705
2016-12-29 00:00:00, 2016-12-29T16:25:00.000000000, -19.787, 1023.479, 1.278, 70.121, 65.362, 91.019, 61.202
2016-12-30 00:00:00, 2016-12-30T15:56:00.000000000, -23.270, 1023.500, 1.278, 69.950, 59.650, 92.083, 62.394
2016-12-31 00:00:00, 2016-12-31T17:16:00.000000000, -26.328, 1023.522, 1.278, 66.421, 57.558, 94.065, 63.484
2017-01-01 00:00:00, 2017-01-01T05:12:00.000000000, -28.204, 1023.521, 1.278, 63.023, 56.959, 93.491, 62.743
2017-01-02 00:00:00, 2017-01-02T05:11:00.000000000, -26.976, 1023.537, 1.280, 64.796, 60.749, 89.077, 65.577
2017-01-03 00:00:00, 2017-01-03T05:03:00.000000000, -30.604, 1023.546, 1.279, 68.111, 58.838, 85.855, 67.534
2017-01-04 00:00:00, 2017-01-04T05:13:00.000000000, -27.472, 1023.547, 1.279, 67.241, 57.154, 86.604, 66.926
2017-01-05 00:00:00, 2017-01-05T18:37:00.000000000, -20.109, 1023.548, 1.279, 69.332, 62.050, 85.245, 66.869
2017-01-06 00:00:00, 2017-01-06T21:08:00.000000000, -18.532, 1023.531, 1.278, 71.339, 64.678, 85.024, 68.776
